id,Time,Channel 1,Channel 2,Channel 3,Channel 4
1,0.035518519,0.592,0.591875,0.593875,0.592375
0,0.035577546,0.5925,0.59025,0.592625,0.59225
1,0.035636573,0.593,0.588625,0.5925,0.592125
0,0.0356956,0.5935,0.587,0.59275,0.592
1,0.035754627,0.594,0.585375,0.593,0.591875
0,0.035813654,0.5945,0.58375,0.59325,0.59175
1,0.035872681,0.595,0.582125,0.5935,0.591625
0,0.035931708,0.5955,0.5805,0.59375,0.5915
1,0.035990735,0.596,0.578875,0.594,0.591375
0,0.036049762,0.5965,0.57725,0.59425,0.59125
1,0.036108789,0.597,0.575625,0.5945,0.591125
0,0.036167816,0.5975,0.574,0.59475,0.591
1,0.036226843,0.598,0.572375,0.595,0.590875
0,0.03628587,0.5985,0.57075,0.59525,0.59075
1,0.036344897,0.599,0.569125,0.5955,0.590625
0,0.036403924,0.5995,0.5675,0.59575,0.5905
1,0.036462951,0.6,0.565875,0.596,0.590375
0,0.036521978,0.6005,0.56425,0.59625,0.59025
1,0.036581005,0.601,0.562625,0.5965,0.590125
0,0.036640032,0.6015,0.561,0.59675,0.59
1,0.036699059,0.602,0.559375,0.597,0.589875
0,0.036758086,0.6025,0.55775,0.59725,0.58975
1,0.036817113,0.603,0.556125,0.5975,0.589625
0,0.03687614,0.6035,0.5545,0.59775,0.5895
1,0.036935167,0.604,0.552875,0.598,0.589375
0,0.036994194,0.6045,0.55125,0.59825,0.58925
1,0.037053221,0.605,0.549625,0.5985,0.589125
0,0.037112248,0.6055,0.548,0.59875,0.589
1,0.037171275,0.606,0.546375,0.599,0.588875
0,0.037230302,0.6065,0.54475,0.59925,0.58875
1,0.037289329,0.607,0.543125,0.5995,0.588625
0,0.037348356,0.6075,0.5415,0.59975,0.5885
1,0.037407383,0.608,0.539875,0.6,0.588375
0,0.03746641,0.6085,0.53825,0.60025,0.58825
1,0.037525437,0.609,0.536625,0.6005,0.588125
0,0.037584464,0.6095,0.535,0.60075,0.588
1,0.037643491,0.61,0.533375,0.601,0.587875
0,0.037702518,0.6105,0.53175,0.60125,0.58775
1,0.037761545,0.611,0.530125,0.6015,0.587625
0,0.037820572,0.6115,0.5285,0.60175,0.5875
1,0.037879599,0.612,0.526875,0.602,0.587375
0,0.037938626,0.6125,0.52525,0.60225,0.58725
1,0.037997653,0.613,0.523625,0.6025,0.587125
0,0.03805668,0.6135,0.522,0.60275,0.587
1,0.038115707,0.614,0.520375,0.603,0.586875
0,0.038174734,0.6145,0.51875,0.60325,0.58675
1,0.038233761,0.615,0.517125,0.6035,0.586625
0,0.038292788,0.6155,0.5155,0.60375,0.5865
1,0.038351815,0.616,0.513875,0.604,0.586375
0,0.038410842,0.6165,0.51225,0.60425,0.58625
1,0.038469869,0.617,0.510625,0.6045,0.586125
0,0.038528896,0.6175,0.509,0.60475,0.586
1,0.038587923,0.618,0.507375,0.605,0.585875
0,0.03864695,0.6185,0.50575,0.60525,0.58575
1,0.038705977,0.619,0.504125,0.6055,0.585625
0,0.038765004,0.6195,0.5025,0.60575,0.5855
1,0.038824031,0.62,0.500875,0.606,0.585375
0,0.038883058,0.6205,0.49925,0.60625,0.58525
1,0.038942085,0.621,0.497625,0.6065,0.585125
0,0.039001112,0.6215,0.496,0.60675,0.585
1,0.039060139,0.622,0.494375,0.607,0.584875
0,0.039119166,0.6225,0.49275,0.60725,0.58475
1,0.039178193,0.623,0.491125,0.6075,0.584625
0,0.03923722,0.6235,0.4895,0.60775,0.5845
1,0.039296247,0.624,0.487875,0.608,0.584375
0,0.039355274,0.6245,0.48625,0.60825,0.58425
1,0.039414301,0.625,0.484625,0.6085,0.584125
0,0.039473328,0.6255,0.483,0.60875,0.584
1,0.039532355,0.626,0.481375,0.609,0.583875
0,0.039591382,0.6265,0.47975,0.60925,0.58375
1,0.039650409,0.627,0.478125,0.6095,0.583625
0,0.039709436,0.6275,0.4765,0.60975,0.5835
1,0.039768463,0.628,0.474875,0.61,0.583375
0,0.03982749,0.6285,0.47325,0.61025,0.58325
1,0.039886517,0.629,0.471625,0.6105,0.583125
0,0.039945544,0.6295,0.47,0.61075,0.583
1,0.040004571,0.63,0.468375,0.611,0.582875
0,0.040063598,0.6305,0.46675,0.61125,0.58275
1,0.040122625,0.631,0.465125,0.6115,0.582625
0,0.040181652,0.6315,0.4635,0.61175,0.5825
