id,Time (ns),"Sensor 1 WE , (V)","Sensor 1 AE, (V)","Sensor 2 WE, (V)","Sensor 2 AE, (V)","Sensor 3 WE, (V) ","Sensor 3 AE, (V)","Sensor 4 WE, (V) ","Sensor 4 AE, (V)",
1,0.00032679,0.020063816,0.010032142,2.396179832,0.983125555,5.003662584,3.255531961,5.926131253,3.255531961,
0,0.00169988,0.020074328,0.010036716,2.585030733,0.952457611,4.605482288,2.82190273,5.985795688,2.82190273,
1,0.002801428,0.020083073,0.010040304,2.814473403,1.171749405,5.032374774,3.232127049,6.353376738,3.232127049,
0,0.005291863,0.020110925,0.010044798,2.398274765,0.917448471,4.554956138,2.855362144,5.887343732,2.855362144,
1,0.005662931,0.020118892,0.010046954,2.810920317,1.20856279,5.324630171,3.282814682,6.482867073,3.282814682,
0,0.005763367,0.02014455,0.010057882,2.824269673,1.419146511,5.224434281,2.93054908,5.448024172,2.93054908,
1,0.008048164,0.020176229,0.010067859,2.126442603,1.030945657,4.259546854,2.585560399,5.606363014,2.585560399,
0,0.008554613,0.020209388,0.010094413,2.976183936,1.396472529,5.205907486,3.269127314,5.793455851,3.269127314,
1,0.00871456,0.020237319,0.010100073,1.906443694,0.945815438,4.484890456,2.800113841,5.865658766,2.800113841,
0,0.008970541,0.020341762,0.010133524,2.869394878,1.391200778,4.763125421,2.709323522,5.93056797,2.709323522,
1,0.009517604,0.020364867,0.010149943,2.32069978,1.041771172,4.885136724,2.839312598,5.551325253,2.839312598,
0,0.010406324,0.020380418,0.010153894,2.298270975,1.045446822,5.134052438,3.1112207,6.09856713,3.1112207,
1,0.013048766,0.020425697,0.010199003,2.844601,1.451022222,5.365417727,2.929116975,5.536735118,2.929116975,
0,0.013568308,0.02043885,0.010202347,2.249629355,1.092752957,5.180463156,2.975009085,6.122178766,2.975009085,
1,0.015526514,0.020482401,0.010208043,2.422756803,1.006246741,5.287317273,3.00975929,6.283643224,3.00975929,
0,0.015979964,0.020548085,0.010214759,1.768433377,0.919759438,5.133466176,3.230365062,6.503748004,3.230365062,
1,0.016314808,0.020587602,0.010245391,2.025112358,1.023322079,5.067262243,2.907943193,6.163399107,2.907943193,
0,0.016779942,0.020608569,0.010246047,2.00183798,0.893801994,5.537920088,3.101783209,6.376812247,3.101783209,
1,0.01711697,0.020627293,0.010254076,3.03617077,1.636837493,5.302666986,3.045317578,5.806729787,3.045317578,
0,0.017317072,0.020768598,0.01027405,3.176453112,1.547975595,4.872359457,2.839039185,5.33128953,2.839039185,
1,0.018390523,0.020800575,0.010280633,1.828559123,0.988185788,4.871071968,2.992271855,6.146486991,2.992271855,
0,0.018812935,0.020816988,0.010281553,1.769780291,0.93767188,5.022704425,2.959979452,5.655292744,2.959979452,
1,0.01898364,0.020849705,0.010306407,2.042340109,1.115789132,4.930416422,2.889314079,5.815157743,2.889314079,
0,0.022036833,0.021021401,0.01035569,2.660005754,1.191266843,5.033708725,2.678432106,5.965294673,2.678432106,
1,0.023138093,0.021025875,0.0103579,2.414734471,1.231458749,4.764323848,2.580555564,5.503469071,2.580555564,
0,0.023799212,0.021064315,0.010378339,2.913765596,1.34547533,5.008964303,3.210710492,6.50262389,3.210710492,
1,0.026071766,0.02106944,0.010381599,2.315295185,1.478670089,4.537022713,2.485700836,5.183182033,2.485700836,
0,0.026125746,0.021096487,0.010388092,2.000561146,0.844169767,5.578275517,3.114487836,6.341140324,3.114487836,
1,0.026933026,0.021125493,0.010409731,2.475428922,1.5114285,5.25152638,3.29805528,6.232061947,3.29805528,
0,0.027426131,0.021186429,0.010432002,2.739961476,1.612108156,5.511745217,3.285422833,6.3399926,3.285422833,
1,0.029839039,0.021211187,0.010439429,1.921930445,0.997579009,5.158946544,2.691081438,5.455290004,2.691081438,
0,0.030097088,0.021310646,0.010449869,2.28117538,1.298858839,5.550876532,3.203558575,6.117893478,3.203558575,
1,0.030247359,0.021409329,0.010470609,2.081916547,0.956485171,5.006375581,3.164262824,6.017341072,3.164262824,
0,0.031528743,0.021470237,0.010472672,2.638329494,1.36024285,5.429731851,3.042146188,5.758701351,3.042146188,
1,0.031671806,0.021484492,0.01047913,2.420155388,0.876584806,4.863695589,2.586895559,5.779680005,2.586895559,
0,0.031731362,0.021548064,0.010523764,2.607004934,1.172320698,5.187274951,2.750210755,5.63647666,2.750210755,
1,0.031814698,0.021579045,0.010524802,2.781059104,1.44185556,4.373965815,2.5430779,5.267821028,2.5430779,
0,0.032150227,0.021640999,0.010566444,2.152436975,1.077363545,4.524345222,2.738306842,5.554209543,2.738306842,
1,0.032699001,0.021673412,0.010594057,2.759166765,1.392013873,4.509684122,2.735013253,5.434925363,2.735013253,
0,0.033250344,0.021713565,0.010597762,2.696704498,1.600254666,4.810602778,2.863222482,6.158455843,2.863222482,
1,0.034041831,0.021831464,0.01062914,2.050928837,1.103864199,5.326046655,3.081440892,6.072760775,3.081440892,
0,0.034199377,0.021941208,0.01067095,2.687695714,1.257832603,5.391774964,3.232196551,5.793350106,3.232196551,
1,0.034615462,0.021947501,0.010673394,2.695226357,1.500422099,5.20563982,3.1923535,6.129219862,3.1923535,
0,0.036003754,0.021977145,0.010682807,1.829538951,0.967278356,5.044701801,2.693603489,5.548563115,2.693603489,
1,0.036431658,0.022096168,0.010791712,3.002225632,1.576908466,5.524922706,3.208833025,6.201341591,3.208833025,
0,0.036547851,0.022139122,0.010812617,2.245999648,1.0339409,4.916277105,2.580187879,5.559346012,2.580187879,
1,0.037217613,0.022174711,0.010844294,2.394680038,0.950058394,4.565073155,2.529085218,5.287303339,2.529085218,
0,0.03721802,0.022218517,0.010868067,2.682722729,1.47725835,5.529500026,3.238354032,6.07844918,3.238354032,
1,0.038342686,0.022260744,0.010883519,2.100207357,1.193367936,5.238305394,2.920082695,5.998842104,2.920082695,
0,0.039767176,0.022280474,0.010894043,2.386779683,0.93404753,4.836096254,3.179652976,5.849511006,3.179652976,
1,0.041789475,0.022332024,0.010907686,2.135016006,1.132032039,4.519276755,2.821953614,5.476246523,2.821953614,
0,0.042085858,0.022405104,0.01093081,2.965511131,1.41163357,5.547533349,3.07415832,6.300527458,3.07415832,
1,0.042434768,0.022426528,0.010947025,2.017910044,1.053207053,5.570395149,3.165856198,6.066941008,3.165856198,
